,dbn,school_name,num_test_takers,reading_avg_score,math_avg_score,writing_avg_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
2,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370
3,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359
4,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
7,01M650,CASCADES HIGH SCHOOL,18,417,418,411
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387
10,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
11,02M294,ESSEX STREET ACADEMY,53,394,384,378
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
13,02M298,PACE HIGH SCHOOL,85,423,438,432
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
15,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
20,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
21,02M376,NYC ISCHOOL,92,473,483,479
24,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
30,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550
31,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
32,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459
33,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592
34,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533
35,02M419,LANDMARK HIGH SCHOOL,62,390,399,381
36,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
37,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
42,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458
43,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
44,02M449,VANGUARD HIGH SCHOOL,72,395,416,388
45,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391
46,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360
48,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682
49,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
50,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
51,02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475
52,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
53,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400
54,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
55,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
56,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382
57,02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335
58,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
59,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352
60,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
61,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
62,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
63,02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
64,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343
65,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403
66,02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429
67,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
68,02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
69,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
70,02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359
71,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
72,02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430
73,02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
74,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408
75,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
76,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
79,03M404,INNOVATION DIPLOMA PLUS,12,416,403,381
80,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
82,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358
83,03M479,BEACON HIGH SCHOOL,261,577,575,592
84,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
85,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
86,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
87,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
88,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
90,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
91,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
92,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
93,04M495,PARK EAST HIGH SCHOOL,51,373,379,376
94,04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
95,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
96,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
97,04M680,"HERITAGE SCHOOL, THE",31,358,351,345
98,05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
99,05M304,MOTT HALL HIGH SCHOOL,54,413,399,398
101,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
102,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
103,05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
104,05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442
105,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
